SampleDepth;cN;cC;C.N.ratio;North;East
10;0.17;4.85;28.5;7135351.675;735428.472
10;0.05;1.22;24.4;7134980.251;727381.779
10;0.12;3.56;29.7;7134982.976;727725.068
10;0.08;3.89;48.6;7134981.239;728780.223
10;0.03;0.89;29.7;7134982.384;729127.849
10;0.1;3.47;34.7;7134980.584;731580.908
10;0.03;1.1;36.7;7134979.224;732979.309
10;0.2;5.98;29.9;7134984.011;734377.015
10;0.09;1.97;21.9;7134982.361;734732.519
10;0.1;3.32;33.2;7134983.717;735782.45
10;0.03;0.74;24.7;7134631.282;727381.978
10;0.04;1.07;26.8;7134631.875;727727.57
10;0.03;0.91;30.3;7134631.009;728779.691
10;0.03;1.08;36;7134631.799;729133.342
10;0.03;0.81;27;7134629.639;730179.322
10;0.06;2.39;39.8;7134631.929;730528.738
10;0.03;1.07;35.7;7134632.81;731571.93
10;0.06;2.18;36.3;7134630.612;732981.952
10;0.05;1.22;24.4;7134628.006;733333.377
10;0.03;0.84;28;7134626.777;735768.299
10;0.07;2.21;31.6;7134280.982;727730.294
10;0.06;2.2;36.7;7134281.586;728080.971
10;0.05;1.83;36.6;7134275.298;728428.778
10;0.04;1.92;48;7134284.312;729480.102
10;0.09;3.64;40.4;7134279.634;729833.29
10;0.01;0.85;85;7134281.092;730882.544
10;0.02;0.93;46.5;7134279.03;731222.068
10;0.02;0.86;43;7134286.336;731930.622
10;0.03;1;33.3;7134277.928;732277.009
10;0.09;3.35;37.2;7134271.763;732630.598
10;0.02;0.68;34;7134278.794;733685.349
10;0.09;2.38;26.4;7134283.796;734033.112
10;0.07;1.89;27;7134281.941;735436.425
10;0.03;0.81;27;7133934.105;727030.635
10;0.1;3.25;32.5;7133921.785;728082.498
10;0.04;0.94;23.5;7133931.24;729830.999
10;0.03;0.92;30.7;7133930.484;731230.02
10;0.02;0.8;40;7133929.849;731582.081
10;0.43;10.81;25.1;7133932.606;731936.463
10;0.04;0.56;14;7133928.935;732634.392
10;0.04;0.97;24.3;7133930.214;733689.269
10;0.05;2.14;42.8;7133931.208;735085.369
10;0.07;2.49;35.6;7133931.387;736485.276
10;0.04;2.71;67.8;7133576.358;728776.144
10;0.2;4.56;22.8;7133579.844;729133.506
10;0.04;1.63;40.8;7133584.543;730177.258
10;0.04;1.58;39.5;7133579.641;730533.869
10;0.02;1.13;56.5;7133583.53;730879.925
10;0.04;1.11;27.8;7133586.555;731226.988
10;0.07;2.03;29;7133582.162;731577.026
10;0.03;0.88;29.3;7133579.087;731933.101
10;0.07;2.66;38;7133582.2;732281.06
10;0.6;15.87;26.5;7133593.27;732973.851
10;0.06;1.22;20.3;7133572.514;733332.604
10;0.03;1.63;54.3;7133589.944;734736.639
10;0.05;1.41;28.2;7133587.492;735774.275
10;0.1;2.67;26.7;7133584.845;736130.614
10;0.07;2.35;33.6;7133231.917;729479.895
10;0.05;1.61;32.2;7133227.676;730179.602
10;0.02;0.5;25;7133229.01;730532.824
10;0.12;4.09;34.1;7133227.538;730882.06
10;0.03;0.7;23.3;7133233.649;731232.186
10;0.03;0.71;23.7;7133204.258;731611.094
10;0.05;1.85;37;7133233.652;731928.777
10;0.05;1.24;24.8;7133224.315;732279.272
10;0.06;1.67;27.8;7133228.362;732627.825
10;0.05;1.78;35.6;7133234.126;733326.016
10;0.09;1.48;16.4;7133232.247;734378.727
10;0.03;0.87;29;7133234.035;734727.859
10;0.09;2.64;29.3;7133236.881;735782.295
10;0.07;1.73;24.7;7132883.626;729831.377
10;0.06;1.03;17.2;7132882.08;731229.808
10;0.03;0.72;24;7132883.287;731578.159
10;0.12;3.31;27.6;7132880.565;731935.495
10;0.05;1.85;37;7132884.035;732277.414
10;0.1;2.53;25.3;7132877.314;732632.972
10;0.09;3.82;42.4;7132881.509;735434.012
10;0.08;1.91;23.9;7132530.872;729482.831
10;0.11;2.51;22.8;7132534.834;729833.045
10;0.03;0.79;26.3;7132533.354;730880.151
10;0.03;1.09;36.3;7132529.488;731227.832
10;0.03;1.15;38.3;7132529.63;731581.177
10;0.06;1.65;27.5;7132535.864;731928.16
10;0.17;4.64;27.3;7132528.151;732279.73
10;0.23;6.26;27.2;7132532.438;732628.812
10;0.11;2.47;22.5;7132530.056;733682.465
10;0.07;1.1;15.7;7132532.311;734031.344
10;0.05;0.5;10;7132182.223;731579.302
10;0.1;2.63;26.3;7132180.344;731932.458
10;0.12;2.61;21.8;7132182.979;732982.304
10;0.08;1.29;16.1;7132186.76;733331.292
10;0.08;1.29;16.1;7132175.543;734386.939
10;0.06;0.84;14;7132189.692;734710.538
10;0.04;1.52;38;7132180.57;735781.509
10;0.11;2.83;25.7;7131828.784;730177.873
10;0.06;1.7;28.3;7131823.537;731577.724
10;0.08;2.3;28.8;7131833.152;731928.569
10;0.13;2.01;15.5;7131824.163;732979.017
10;0.11;2.92;26.5;7131839.415;734380.606
10;0.09;2.12;23.6;7131490.936;730881.776
10;0.05;1.17;23.4;7131479.747;731230.743
10;0.1;2.08;20.8;7131481.41;732278.391
10;0.05;1.02;20.4;7131484.966;732633.028
10;0.04;1.14;28.5;7131482.02;734032.546
10;0.05;0.72;14.4;7131480.374;735079.501
10;0.06;1.15;19.2;7131481.073;735429.704
10;0.11;4.41;40.1;7131138.837;731234.468
10;0.05;1.13;22.6;7131142.539;733680.999
10;0.06;0.69;11.5;7131130.636;734026.951
10;0.09;2.93;32.6;7131129.72;735429.805
10;0.03;0.9;30;7130776.267;729831.519
10;0.11;2.57;23.4;7130788.309;730538.104
10;0.05;1.05;21;7130782.748;731578.179
10;0.09;1.78;19.8;7130782.523;731934.504
10;0.07;1.22;17.4;7130782.312;733331.039
10;0.1;1.45;14.5;7130781.607;734382.123
10;0.15;3.36;22.4;7130780.96;734730.833
10;0.15;2.84;18.9;7130782.645;735778.404
10;0.02;0.76;38;7130431.066;730181.297
10;0.06;1.6;26.7;7130427.434;730525.962
10;0.09;2.33;25.9;7130429.446;731581.77
10;0.05;1.86;37.2;7130429.528;731929.796
10;0.09;1.91;21.2;7130430.196;732976.239
10;0.09;1.68;18.7;7130429.92;733329.944
10;0.09;1.53;17;7130428.14;734379.664
10;0.11;3.06;27.8;7130427.422;734729.191
10;0.05;1.43;28.6;7130435.704;735772.723
10;0.07;1.41;20.1;7130083.767;730882.685
10;0.05;1.4;28;7130083.424;731229.77
